Trainer,Trainer.1,NDex,Pokémon,Pokémon.1,Type,Weakness,Role,EX role,Base potential,Availability
,Giovanni,#0150,,Mewtwo Mega Mewtwo Y,Psychic,Dark,,,★★★★★☆EX,Legendary Adventures Lurking Shadow
,Giovanni,#0112,,Rhydon♂,Ground,Grass,,,★★★★★☆EX,Variety Sync Pair Scout
,Giovanni,#0033,,Nidorino♂,Poison,Ground,,,★★★★☆☆EX,Trainer Lodge Friendship Level 100
,Classic Giovanni,#0053,,Persian♂,Normal,Fighting,,,★★★★☆☆EX,Sync Pair-Up Event
,Sygna Suit Giovanni,#0034,,Nidoking♂,Ground,Psychic,,,★★★★★☆EX,Poké Fair Sync Pair Scout
,Sygna Suit (Alt.) Giovanni,#0799,,Guzzlord,Dark,Fairy,,,★★★★★☆EX,Master Fair Sync Pair Scout
,Jessie,#0024,,Arbok♂,Poison,Ground,,,★★★,Event Double Trouble
,James,#0110,,Weezing♂,Poison,Psychic,,,★★★,Event Blasting Off Again
,Archer,#0229,,Houndoom♂,Dark,Fighting,,,★★★★★☆EX,Variety Sync Pair Scout
,Ariana,#0024,,Arbok♀,Poison,Ground,,,★★★★★☆EX,Variety Sync Pair Scout
,Petrel,#0110,,Weezing♂,Poison,Psychic,,,★★★★★☆EX,Variety Sync Pair Scout
,Proton,#0042,,Golbat♂,Flying,Ice,,,★★★★★☆EX,Variety Sync Pair Scout
