× ×,× ×.1,Defending type Normal,Defending type Fighting,Defending type Flying,Defending type Poison,Defending type Ground,Defending type Rock,Defending type Bug,Defending type Ghost,Defending type Steel,Defending type Fire,Defending type Water,Defending type Grass,Defending type Electric,Defending type Psychic,Defending type Ice,Defending type Dragon,Defending type Dark,Defending type Fairy
Attacking type,Normal,1×,1×,1×,1×,1×,½×,1×,0×,½×,1×,1×,1×,1×,1×,1×,1×,1×,1×
Attacking type,Fighting,2×,1×,½×,½×,1×,2×,½×,0×,2×,1×,1×,1×,1×,½×,2×,1×,2×,½×
Attacking type,Flying,1×,2×,1×,1×,1×,½×,2×,1×,½×,1×,1×,2×,½×,1×,1×,1×,1×,1×
Attacking type,Poison,1×,1×,1×,½×,½×,½×,1×,½×,0×,1×,1×,2×,1×,1×,1×,1×,1×,2×
Attacking type,Ground,1×,1×,0×,2×,1×,2×,½×,1×,2×,2×,1×,½×,2×,1×,1×,1×,1×,1×
Attacking type,Rock,1×,½×,2×,1×,½×,1×,2×,1×,½×,2×,1×,1×,1×,1×,2×,1×,1×,1×
Attacking type,Bug,1×,½×,½×,½×,1×,1×,1×,½×,½×,½×,1×,2×,1×,2×,1×,1×,2×,½×
Attacking type,Ghost,0×,1×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,½×,1×
Attacking type,Steel,1×,1×,1×,1×,1×,2×,1×,1×,½×,½×,½×,1×,½×,1×,2×,1×,1×,2×
Attacking type,Fire,1×,1×,1×,1×,1×,½×,2×,1×,2×,½×,½×,2×,1×,1×,2×,½×,1×,1×
Attacking type,Water,1×,1×,1×,1×,2×,2×,1×,1×,1×,2×,½×,½×,1×,1×,1×,½×,1×,1×
Attacking type,Grass,1×,1×,½×,½×,2×,2×,½×,1×,½×,½×,2×,½×,1×,1×,1×,½×,1×,1×
Attacking type,Electric,1×,1×,2×,1×,0×,1×,1×,1×,1×,1×,2×,½×,½×,1×,1×,½×,1×,1×
Attacking type,Psychic,1×,2×,1×,2×,1×,1×,1×,1×,½×,1×,1×,1×,1×,½×,1×,1×,0×,1×
Attacking type,Ice,1×,1×,2×,1×,2×,1×,1×,1×,½×,½×,½×,2×,1×,1×,½×,2×,1×,1×
Attacking type,Dragon,1×,1×,1×,1×,1×,1×,1×,1×,½×,1×,1×,1×,1×,1×,1×,2×,1×,0×
Attacking type,Dark,1×,½×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,½×,½×
Attacking type,Fairy,1×,2×,1×,½×,1×,1×,1×,1×,½×,½×,1×,1×,1×,1×,1×,2×,2×,1×
These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.,These matchups are suitable for Generation VI onward.
